9,3,,,,1,72,,,,3.08219,0.89
3,7,,,,88,1,,,,3.04494,0.89
13,3,,,,1,86,,,,3.11494,0.89
3,5,,,,98,4,,,,3.07843,0.89
4,3,,,,1,75,,,,3.01316,0.89
3,7,,,,70,2,,,,3.11111,0.89
3,20,,,,91,1,,,,3.18478,0.89
16,3,,,,1,66,,,,3.19403,0.89
3,9,,,,76,1,,,,3.07792,0.89
3,4,3.0,,,13,5,59.0,,,3.06494,0.89
4,3,,,,6,87,,,,3.06452,0.89
4,3,3.0,,,5,40,17.0,,,3.08065,0.89
5,3,,,,1,23,,,,3.08333,0.89
3,12,,,,96,1,,,,3.09278,0.89
17,3,3.0,,,1,83,98.0,,,3.07692,0.89
5,3,,,,5,98,,,,3.09709,0.89
6,3,,,,2,94,,,,3.0625,0.89
24,3,,,,1,94,,,,3.22105,0.89
3,5,3.0,3.0,,18,10,92.0,94.0,,3.09346,0.89
20,3,,,,1,89,,,,3.18889,0.89
6,3,,,,1,79,,,,3.0375,0.89
4,3,,,,5,83,,,,3.05682,0.89
4,3,,,,8,92,,,,3.08,0.89
3,18,,,,89,1,,,,3.16667,0.89
4,3,,,,1,11,,,,3.08333,0.89
3,4,,,,48,4,,,,3.07692,0.89
3,4,,,,41,1,,,,3.02381,0.89
5,3,,,,3,100,,,,3.05825,0.89
3,17,,,,96,1,,,,3.14433,0.89
3,4,3.0,,,90,8,46.0,,,3.05556,0.89
4,3,,,,2,52,,,,3.03704,0.89
3,6,,,,82,1,,,,3.03614,0.89
3,6,,,,84,3,,,,3.10345,0.89
4,3,,,,1,66,,,,3.01493,0.89
6,3,,,,1,79,,,,3.0375,0.89
3,8,,,,73,1,,,,3.06757,0.89
3,5,,,,45,2,,,,3.08511,0.89
3,10,,,,98,1,,,,3.07071,0.89
4,3,,,,6,65,,,,3.08451,0.89
4,3,,,,1,74,,,,3.01333,0.89
4,3,,,,1,46,,,,3.02128,0.89
3,5,,,,63,2,,,,3.06154,0.89
3,23,,,,90,1,,,,3.21978,0.89
10,3,3.0,,,2,89,47.0,,,3.10145,0.89
3,5,,,,74,2,,,,3.05263,0.89
6,3,,,,1,75,,,,3.03947,0.89
6,3,,,,1,47,,,,3.0625,0.89
9,3,3.0,3.0,,2,25,65.0,69.0,,3.07453,0.89
3,4,,,,99,2,,,,3.0198,0.89
3,19,,,,81,1,,,,3.19512,0.89
3,4,,,,37,3,,,,3.075,0.89
4,3,,,,2,24,,,,3.07692,0.89
3,6,,,,97,2,,,,3.06061,0.89
3,13,3.0,,,22,2,95.0,,,3.16807,0.89
5,3,,,,1,28,,,,3.06897,0.89
3,3,19.0,,,88,11,1.0,,,3.16,0.89
3,6,3.0,,,68,3,44.0,,,3.07826,0.89
6,3,,,,1,39,,,,3.075,0.89
3,18,,,,83,1,,,,3.17857,0.89
3,3,5.0,,,48,81,4.0,,,3.06015,0.89
3,4,,,,74,7,,,,3.08642,0.89
4,3,,,,9,78,,,,3.10345,0.89
3,22,,,,99,1,,,,3.19,0.89
10,3,,,,1,51,,,,3.13462,0.89
6,3,,,,3,72,,,,3.12,0.89
16,3,,,,1,76,,,,3.16883,0.89
3,7,,,,87,2,,,,3.08989,0.89
3,20,,,,98,1,,,,3.17172,0.89
3,26,3.0,,,83,1,38.0,,,3.18852,0.89
3,21,,,,83,1,,,,3.21429,0.89
3,3,4.0,3.0,,99,14,8.0,1.0,,3.06557,0.89
3,17,3.0,,,33,1,58.0,,,3.15217,0.89
3,8,,,,70,2,,,,3.13889,0.89
3,30,,,,92,1,,,,3.29032,0.89
